runID,day,id, Total pop, Happiness, Net growth rate,stpl0,stpl1,stpl2,ntpr0,ntpr1,ntpr2,% space used
1,30,1,637,-18.425299329950374,-0.6088525887671596,46.82928571428581,124.53439999999992,21.513765660094403,0.09050000000000002,0.8096000000000001,0.712651962509105,0.382557649091238
1,60,1,628,-12.025909963261107,-0.2276737479108648,47.48700000000004,148.69279999999995,43.0067341024367,0.00657142857142845,0.8024,0.718797660321413,0.37715259596436024
1,90,1,626,-7.7300302361965,0.03826914569295825,47.721071428571435,172.7272000000002,64.67129398883537,0.008142857142857007,0.8008,0.726106499928346,0.3759514730472763
1,120,1,635,-3.655361419800874,0.3956098170275846,47.886785714285644,196.8312000000003,86.67342778651651,0.001071428571428501,0.808,0.7424570286080172,0.38135652617415405
1,150,1,647,-1.5320767580819599,0.5473507846167054,49.91442857142849,221.1840000000003,109.10416334093807,0.08407142857142857,0.8175999999999999,0.7571095860120387,0.3885632636766577
1,180,1,664,2.5833188491428154,0.7003996551789444,52.26942857142846,245.92000000000033,132.13138160859674,0.07314285714285718,0.8311999999999999,0.7754666666666665,0.3987728084718713
1,210,1,688,6.787158796861262,0.7317935220260736,54.24771428571421,271.12480000000033,155.6865816085967,0.06092857142857144,0.8464,0.7919333333333334,0.4131862834768787
1,240,1,710,10.890454161162943,0.7884312000447165,55.806857142857034,296.8512000000001,179.80684827526343,0.043571428571428594,0.8679999999999999,0.8153333333333334,0.4263986355648021
1,270,1,733,15.224461817172953,0.8455436343825944,56.90635714285711,323.1496000000001,204.5467816085965,0.028785714285714303,0.8864000000000001,0.8352666666666666,0.4402115491112676
1,300,1,761,19.568689108547524,0.9787621347343032,57.47292857142854,350.11120000000017,230.0051816085965,0.010785714285714287,0.9088,0.8595333333333333,0.4570272699504429
1,330,1,801,21.759672858130273,1.0520647885149572,58.99921428571429,377.84400000000034,256.2990482752633,0.09950000000000003,0.9408000000000001,0.8942,0.4810497282921219
1,360,1,836,26.24370734119568,1.1137595959870206,61.75321428571431,406.4376000000005,283.53897010630044,0.08199999999999985,0.9687999999999999,0.9274967330693554,0.502069379341091
1,390,1,864,28.71121170776629,0.7931815264484465,63.992714285714264,435.85440000000017,300.0,0.06800000000000006,0.9912000000000001,0.9594882900904094,0.5188851001802663
1,420,1,898,28.007999067335042,0.7744960550662109,65.79471428571425,465.97120000000064,300.0,0.05449999999999999,1.0128,0.9811337572303673,0.5393041897706935
1,450,1,926,27.09842782270141,0.7586250198102523,67.14971428571428,496.80320000000046,300.0,0.03700000000000003,1.0408,1.0089926264488855,0.5561199106098688
1,480,1,953,26.39785766960737,0.7139557241689521,68.05871428571416,528.3488000000006,300.0,0.023499999999999854,1.0624,1.030373844855123,0.572335069990502
1,510,1,980,25.698681229168912,0.6979272616007061,68.53571428571416,560.5856000000007,300.0,0.009999999999999898,1.084,1.0516156919958015,0.5885502293711354
1,540,1,1015,22.78718893001181,0.6790707902184704,70.58421428571415,593.525600000001,300.0,0.13750000000000007,1.112,1.0796666666666666,0.6095698804201045
1,570,1,1042,22.066430960980142,0.6506350904942704,74.58278571428531,627.1688000000009,300.0,0.12785714285714278,1.1336,1.1030666666666666,0.6257850398007379
1,600,1,1069,21.345672991948483,0.6375781279260244,78.27278571428518,661.5032000000012,300.0,0.11821428571428572,1.1552,1.1264666666666665,0.6420001991813711
1,630,1,1103,20.624915022916806,0.6207231565437882,81.6542142857135,696.5288000000011,300.0,0.10857142857142854,1.1768,1.1498666666666668,0.6624192887717982
1,660,1,1129,19.743988616322554,0.5778991565632752,84.72278571428517,732.2552000000011,300.0,0.09678571428571425,1.2032,1.1784666666666663,0.6780338866938896
1,690,1,1155,19.049925386884652,0.5645872666827423,87.49421428571382,768.6472000000014,300.0,0.08750000000000013,1.224,1.201,0.693648484615981
1,720,1,1181,18.35586215744675,0.5510153768022092,89.96849999999976,800.0,300.0,0.07821428571428579,0.0,2.4683333333333333,0.7092630825380724
1,750,1,1215,17.448241011258727,0.5755093122007748,92.13778571428557,800.0,300.0,0.06607142857142856,0.0,2.5249999999999995,0.7296821721284995
1,780,1,1242,16.727483042227057,0.5607223496325294,93.99350000000003,800.0,300.0,0.056428571428571495,0.0,2.57,0.7458973315091328
1,810,1,1265,16.113504031570457,0.4252467513211531,95.55028571428568,800.0,300.0,0.048214285714285765,0.0,2.6083333333333334,0.7597102450555983
1,840,1,1290,15.579609239695154,0.36051441505623183,96.86421428571427,800.0,300.0,0.04107142857142865,0.0,2.6416666666666666,0.7747242815191476
1,870,1,1308,14.965630229038538,0.35561086784583695,97.95992857142852,800.0,300.0,0.032857142857142696,0.0,2.6799999999999997,0.7855343877729032
1,900,1,1327,14.458430176756998,0.35083711259388384,98.84599999999993,800.0,300.0,0.026071428571428523,0.0,2.7116666666666664,0.7969450554852007
1,930,1,1347,13.924535384881692,0.3814543106681707,99.5152857142857,800.0,300.0,0.018928571428571628,0.0,2.745,0.8089562846560402
1,960,1,1372,13.25716689503756,0.37387221974868323,99.94921428571418,800.0,300.0,0.010000000000000009,0.0,2.786666666666667,0.8239703211195896
1,990,1,1393,12.696577363568483,0.36783138057984677,100.15171428571412,800.0,300.0,0.0024999999999997247,0.0,2.8216666666666668,0.836582111748971
1,1020,1,1415,10.109293092505643,0.44544178071942087,103.732214285714,800.0,300.0,0.19678571428571434,0.0,2.8583333333333334,0.8497944638368945
1,1050,1,1447,9.415229863067744,0.4422384380492823,109.53828571428544,800.0,300.0,0.19121428571428556,0.0,2.9016666666666664,0.8690124305102377
