day,Total pop, Happiness, Net growth rate,0,1,2,% space used
7,1084,38.8281071845605,0.9679260524328148,40.71028571428569,71.72200000000004,13.674199999999992,0.38636546412175893
14,1094,38.84082575598908,0.9830051159399615,51.75228571428568,82.51600000000005,15.024266666666662,0.3899297211708526
21,1104,38.85156099408432,0.9978879619981225,62.79928571428569,93.34500000000003,16.35449999999999,0.39349397821994636
28,1115,38.860312898846225,1.0125686046684108,73.85128571428571,104.20900000000007,17.664899999999996,0.39741466097394945
35,1126,38.854654327417656,1.0257479526768642,84.90878571428571,115.1115000000001,18.95348333333333,0.40133534372795254
42,1137,38.846814089322415,1.0387140761957672,95.9717857142858,126.05250000000012,20.220249999999997,0.40525602648195563
49,1148,38.83679218456051,1.051459866569144,107.04028571428577,137.03200000000012,21.465199999999992,0.4091767092359587
56,1160,38.82458861313194,1.0639784875982157,118.11428571428573,148.0500000000002,22.688333333333343,0.41345381769487116
63,1172,38.79777623217956,1.075056003543632,129.1942857142857,159.1100000000003,23.887666666666675,0.41773092615378365
70,1184,38.76858385122718,1.0858925801084007,140.28028571428587,170.2120000000004,25.063199999999988,0.4220080346126961
77,1196,38.737011470274794,1.096480346530448,151.37228571428602,181.35600000000048,26.21493333333333,0.4262851430716086
84,1209,38.703059089322416,1.1068117479311252,162.47028571428618,192.54200000000057,27.342866666666655,0.4309186772354304
91,1222,38.65429956551289,1.1157550685671749,173.57478571428615,203.77350000000058,28.44501666666666,0.43555221139925226
98,1235,38.60296170837003,1.1244252814186673,184.68578571428614,215.0505000000005,29.521383333333322,0.44018574556307405
105,1248,38.54904551789384,1.132813912520906,195.80328571428615,226.37300000000056,30.571966666666665,0.4448192797268959
112,1262,38.49255099408431,1.140912840991054,206.92728571428617,237.74100000000053,31.596766666666664,0.4498092395956271
119,1276,38.42105099408432,1.1476688341489756,218.05828571428623,249.15800000000053,32.59379999999999,0.4547991994643583
126,1290,38.34677432741765,1.1541153565061486,229.19628571428612,260.6240000000005,33.56306666666665,0.4597891593330895
133,1304,38.26972099408432,1.1602434992049235,240.34128571428604,272.13900000000035,34.50456666666667,0.4647791192018207
140,1320,47.11149099408432,1.2568538788337706,250.0,283.70300000000026,35.49795714285714,0.4704819304803706
147,1336,47.06622432741766,1.2721614567000037,250.0,295.32300000000043,36.937957142857144,0.4761847417589206
154,1353,47.01782432741766,1.287123364038503,250.0,306.9990000000005,38.34662380952382,0.4822439787423799
161,1370,46.95426599408431,1.3008022171739384,250.0,318.7345000000003,39.72199880952382,0.48830321572583923
168,1388,46.88737849408432,1.3141093644043107,250.0,330.5295000000003,41.06408214285719,0.494718878414208
175,1406,46.805136827417655,1.3261446728633068,250.0,342.38750000000044,42.37091547619053,0.5011345411025766
182,1424,46.719370160750984,1.337779732670437,250.0,354.30850000000027,43.6424988095239,0.5075502037909453
189,1443,46.63007849408433,1.3490016505161508,250.0,366.2925000000002,44.87883214285724,0.5143222921842234
196,1462,46.525236827417665,1.3589645902378096,250.0,378.34300000000013,46.07795714285721,0.5210943805775015
203,1482,46.41667432741766,1.3684832982270783,250.0,390.4600000000001,47.2398738095239,0.5282228946756888
210,1502,46.29236599408433,1.3767462394718502,250.0,402.647,48.36262380952392,0.5353514087738763
217,1522,46.16414099408432,1.3845315269329175,250.0,414.9039999999998,49.44620714285726,0.5424799228720638
224,1543,46.031999327417665,1.3918255661470886,250.0,427.231,50.49062380952393,0.5499648626751605
231,1564,45.88391599408433,1.397866460489064,250.0,439.6315,51.49391547619058,0.5574498024782574
238,1585,45.731720160750996,1.4033805920034421,250.0,452.1054999999999,52.456082142857255,0.5649347422813542
245,1607,45.57541182741766,1.408354571215862,250.0,464.653,53.37712380952391,0.5727761077893604
252,1629,45.402965994084326,1.412072742219683,250.0,477.2774999999999,54.25508214285724,0.5806174732973665
259,1652,45.226211827417664,1.4152134361777693,250.0,489.979,55.08995714285725,0.5888152645102821
266,1677,55.61460522830676,1.527134548226035,250.0,500.0,56.09128638459802,0.5977259071330163
273,1702,55.5741072859191,1.5460686402765447,250.0,500.0,57.69118775814666,0.6066365497557507
280,1728,55.50478577418447,1.564208965228779,250.0,500.0,59.2472183252673,0.6159036180833943
287,1755,55.420887048313645,1.581163715574716,250.0,500.0,60.75697567035839,0.6255271121159474
294,1783,55.322098545698395,1.5969088516928265,250.0,500.0,62.21810005963648,0.6355070318534097
301,1811,55.20809736313279,1.6114180108281282,250.0,500.0,63.62818407659089,0.6454869515908721
308,1840,55.088278355368246,1.625227359588775,250.0,500.0,64.98677896324926,0.6558232970332439
315,1870,54.95283060468924,1.6377580500892162,250.0,500.0,66.29146293171772,0.6665160681805251
322,1900,54.80140466104746,1.6489774696639543,250.0,500.0,67.53969807377925,0.6772088393278063
329,1931,54.64342653109046,1.6593774620014266,250.0,500.0,68.73092580424549,0.6882580361799967
336,1963,54.469006992917386,1.668413480132108,250.0,500.0,69.86258446274475,0.6996636587370967
343,1995,54.277766443947186,1.6760464300961413,250.0,500.0,70.93198405077378,0.7110692812941966
350,2028,54.079166852435534,1.682726792168672,250.0,500.0,71.93843805813904,0.7228313295562059
357,2062,53.86322911693796,1.6879410402691857,250.0,500.0,72.87922214062485,0.7349498035231246
364,2096,53.629539405213166,1.6916433668605677,250.0,500.0,73.75147009651629,0.7470682774900431
371,2131,53.387600483526406,1.694245813851636,250.0,500.0,74.55434700733903,0.759543177161871
378,2167,53.12733082691457,1.6952625379489592,250.0,500.0,75.28494029321958,0.7723745025386086
385,2203,52.84827774589806,1.6946407456516202,250.0,500.0,75.94018052429134,0.7852058279153459
392,2240,52.55998964629062,1.6927568305681109,250.0,500.0,76.51906111400595,0.7983935789969926
399,2277,52.25226892641352,1.6891492811360997,250.0,500.0,77.01845251434234,0.8115813300786394
406,2315,51.93470006369175,1.6841729060199317,250.0,500.0,77.43723525266711,0.8251255068651955
413,2353,51.59700358770546,1.677381146985708,250.0,500.0,77.77213453705981,0.8386696836517517
420,2392,51.248802084715166,1.669108455825079,250.0,500.0,78.02190799728855,0.8525702861432172
427,2431,50.87972832848511,1.6589216595147689,250.0,500.0,78.18312321888169,0.8664708886346826
434,2471,50.49944505733269,1.64713596327034,250.0,500.0,78.25440403570084,0.8807279168310576
441,2511,50.135340037308985,1.6337395514617858,250.0,500.0,78.23369660440113,0.8949849450274323
448,2551,49.8636729817547,1.619942933180528,250.0,500.0,78.13187940051337,0.9092419732238073
455,2591,49.58688274365946,1.6049293701642262,250.0,500.0,77.95759606718002,0.9234990014201822
462,2632,49.302959172230885,1.5886882816818861,250.0,500.0,77.71197940051336,0.9381124553214664
469,2673,49.005239886516605,1.5709024619833338,250.0,500.0,77.39324606717999,0.9527259092227506
476,2714,48.700208934135645,1.5518399220768972,250.0,500.0,77.00139606717991,0.9673393631240349
